zona,CB,C3,diferencia_kWh,variacion_pct
PLANTABAJA:ASCENSOR,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,0.0,0.0,0.0,
PLANTABAJA:PBXOFX01,2800.598250623556,1475.1739578583495,-1325.4242927652065,-47.32647006653308
PLANTABAJA:PBXOFX02,2371.538345496383,1287.8011422936509,-1083.7372032027322,-45.69764622447616
PLANTABAJA:PBXOFX03,3062.201986237676,1665.0862710758388,-1397.1157151618372,-45.62454473744172
PLANTABAJA:PBXREX01,0.0,0.0,0.0,
PLANTABAJA:PBXSEX01,11810.793644623362,6670.921087803394,-5139.872556819968,-43.51843501355048
PRIMERAPLANTAALTA:1PAXBAX01,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXDC,40196.1107817005,39625.65457214869,-570.4562095518122,-1.4191825986595585
PRIMERAPLANTAALTA:1PAXES,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXOFX01,4447.6548356289,2512.944400609941,-1934.7104350189593,-43.4995633995818
PRIMERAPLANTAALTA:1PAXOFX02,2967.616597199921,1634.671767527062,-1332.9448296728592,-44.91634232436064
PRIMERAPLANTAALTA:1PAXOFX03,4500.5263326680715,2388.4773052340843,-2112.0490274339872,-46.92893389164751
PRIMERAPLANTAALTA:1PAXPAS,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXSR,3053.3058098058277,1901.700980256588,-1151.6048295492396,-37.71665536582708
PRIMERAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXCAF,2642.023262788761,2278.924173269581,-363.09908951917987,-13.743220759377959
SEGUNDAPLANTAALTA:2PAXES,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXSUM,6907.04100637939,4326.526039881286,-2580.5149664981036,-37.36064349574185
SEGUNDAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
