zona,mes,C3,CB,diferencia_kWh,variacion_pct
PLANTABAJA:ASCENSOR,1,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,2,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,3,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,4,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,5,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,6,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,7,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,8,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,9,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,10,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,11,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,12,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXOFX01,1,198.76362001343327,327.2413203546135,-128.47770034118022,-39.26084279392223
PLANTABAJA:PBXOFX01,2,223.24465513740134,341.4385847647829,-118.19392962738155,-34.61645370537292
PLANTABAJA:PBXOFX01,3,263.0269754504755,393.21544720352523,-130.18847175304973,-33.108687026139435
PLANTABAJA:PBXOFX01,4,259.6227190478968,360.33323703902937,-100.71051799113258,-27.949272406481935
PLANTABAJA:PBXOFX01,5,225.08963024441186,339.012104907281,-113.92247466286915,-33.60424982288661
PLANTABAJA:PBXOFX01,6,85.56967678327325,205.43419506171307,-119.86451827843982,-58.34691651135885
PLANTABAJA:PBXOFX01,7,35.315096902559546,141.233061602754,-105.91796470019445,-74.99516295845072
