caso,zona,horas_ocupadas,media_C,mediana_C,percentil95_C,maximo_C
CB,PLANTABAJA:PBXOFX01,3130,26.75478823507668,26.839934305,28.358359187999998,29.06075665
CB,PLANTABAJA:PBXOFX02,3130,26.980606346127793,27.014860085000002,28.555355955499998,29.44822348
CB,PLANTABAJA:PBXOFX03,3130,26.82936683776038,26.864389535,28.344290240499998,29.11177928
CB,PRIMERAPLANTAALTA:1PAXOFX01,3130,27.171253779996803,27.149777805,28.9104291705,29.83691219
CB,PRIMERAPLANTAALTA:1PAXOFX02,3130,27.067254995610224,27.060592104999998,28.1519491765,28.49910806
CB,PRIMERAPLANTAALTA:1PAXOFX03,3130,26.82779703023003,26.845535505,28.2311688375,28.90964805
C3 r02,PLANTABAJA:PBXOFX01,3130,26.018524435297124,26.235549225,27.042403067000002,27.74534812
C3 r02,PLANTABAJA:PBXOFX02,3130,26.135357846862618,26.369800575,27.240130062000002,28.1948864
C3 r02,PLANTABAJA:PBXOFX03,3130,26.07933137015655,26.287475125,27.096735391,28.21088403
C3 r02,PRIMERAPLANTAALTA:1PAXOFX01,3130,26.279129425670927,26.583987965,27.6808496235,28.47800454
C3 r02,PRIMERAPLANTAALTA:1PAXOFX02,3130,26.262869918932907,26.50852647,27.242118021499998,27.74462794
C3 r02,PRIMERAPLANTAALTA:1PAXOFX03,3130,25.97398238088818,26.31666072,27.2096480355,27.45035714
