id_eso,ambiente,objeto,variable_unidad_original,frecuencia,mes,valor_original,estadisticos_adicionales_orden_eso
9,SAN CRISTOBAL (01-01:31-12),Environment,Site Outdoor Air Drybulb Temperature [C],Monthly,1,25.604446684587797,20.0|23| 6|60|31.0|27|15|60
13,SAN CRISTOBAL (01-01:31-12),Environment,Site Outdoor Air Dewpoint Temperature [C],Monthly,1,22.698118208324109,17.4|27| 6|60|27.1|30|16|60
17,SAN CRISTOBAL (01-01:31-12),Environment,Site Outdoor Air Barometric Pressure [Pa],Monthly,1,101102.67551523292,100753.0|11|16|60|101363.0| 9|10|60
21,SAN CRISTOBAL (01-01:31-12),Environment,Site Wind Speed [m/s],Monthly,1,3.2617943548387045,0.0| 3| 6|60|8.3|15|20|60
25,SAN CRISTOBAL (01-01:31-12),Environment,Site Wind Direction [deg],Monthly,1,170.72267025089625,0.0|19|12|40|359.6666666666667|25| 3|40
29,SAN CRISTOBAL (01-01:31-12),Environment,Site Diffuse Solar Radiation Rate per Area [W/m2],Monthly,1,65.14232377538825,0.0| 1| 1|10|348.0| 4|14|30
33,SAN CRISTOBAL (01-01:31-12),Environment,Site Direct Solar Radiation Rate per Area [W/m2],Monthly,1,262.6223864994027,0.0| 1| 1|10|924.0|28|13|30
37,SAN CRISTOBAL (01-01:31-12),Environment,Site Solar Azimuth Angle [deg],Monthly,1,179.99687921563746,107.56262239686878|31| 7|20|252.4392194722701|31|18|60
41,SAN CRISTOBAL (01-01:31-12),Environment,Site Solar Altitude Angle [deg],Monthly,1,0.5114994040752553,-71.49342904549458|31| 1|10|73.32683034057208|31|13|10
45,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXESX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
49,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXBOX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
53,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXBAX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,29951197.207725716,0.0| 1| 1|10|23481.913859216074|27|17|30
57,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXREX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,111958574.4890901,0.0| 1| 1|10|73214.11100966356|29| 9|10
61,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:ASCENSOR,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
65,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXSEX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,633713421.158376,0.0| 1| 1|10|428480.51982836527|29| 9|10
69,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03,Zone Total Internal Latent Gain Energy [J],Monthly,1,82542583.86594369,0.0| 1| 1|10|55721.69427201775|29| 9|10
73,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02,Zone Total Internal Latent Gain Energy [J],Monthly,1,60524038.4252697,0.0| 1| 1|10|40119.69439595663|29| 9|10
77,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,77933622.74756108,0.0| 1| 1|10|50786.0864380086|28| 9|10
81,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXDC,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
85,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXES,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
89,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:ASCENSOR,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
93,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXSR,Zone Total Internal Latent Gain Energy [J],Monthly,1,77844923.9846507,0.0| 1| 1|10|55218.559136954944|29| 9|10
97,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXPAS,Zone Total Internal Latent Gain Energy [J],Monthly,1,173321997.62075679,0.0| 1| 1|10|121383.15402340006|27|11|30
101,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX02,Zone Total Internal Latent Gain Energy [J],Monthly,1,64529109.23661082,0.0| 1| 1|10|45731.51342366401|29| 9|10
105,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX02,Zone Total Internal Latent Gain Energy [J],Monthly,1,34665789.75377307,0.0| 1| 1|10|28807.824715156534|28|17|40
109,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXBAX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,28557710.534463377,0.0| 1| 1|10|23468.231671469657|26|15|60
113,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:ATRIO1PA,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
117,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03,Zone Total Internal Latent Gain Energy [J],Monthly,1,114350195.37188344,0.0| 1| 1|10|82156.33866087812|29| 9|10
121,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,93214509.45837233,0.0| 1| 1|10|70791.04034340047|29| 9|10
125,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXBAX01,Zone Total Internal Latent Gain Energy [J],Monthly,1,33545918.24600472,0.0| 1| 1|10|27776.308897389234|28|17|30
129,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXCAF,Zone Total Internal Latent Gain Energy [J],Monthly,1,163989483.29004548,0.0| 1| 1|10|129802.14080155398|27| 9|10
133,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXES,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
137,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXSUM,Zone Total Internal Latent Gain Energy [J],Monthly,1,184712491.29980306,0.0| 1| 1|10|145049.67968043287|27| 9|10
141,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:ASCENSOR,Zone Total Internal Latent Gain Energy [J],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
145,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXPAS,Zone Total Internal Latent Gain Energy [J],Monthly,1,80922344.666637,0.0| 1| 1|10|60703.582599605244|27|17|10
