"Date/Time";"Glazing";"Walls";"Ceilings (int)";"Floors (int)";"Ground Floors";"Partitions (int)";"Roofs";"Floors (ext)";"Internal Natural vent.";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Air";"External Vent.";"Total Cooling";"General Lighting";"Miscellaneous";"Catering";"Computer + Equip";"Occupancy";"Solar Gains Interior Windows";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Room Electricity";"Lighting";"Cooling (Electricity)";"Outside Dry-Bulb Temperature"
"";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"ac/h";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"°C";"°C";"°C";"kWh";"kWh";"kWh";"°C"
"01/01/2025";"-40,0201";"-21,78897";"2,60311";"-1,437066";"-29,12062";"-2,875305";"-3,147666";"-1,203177";"-3,726063";"-183,6468";"1,631638";"-2,175186";"-6,604212";"-277,6703";"44,19941";"95,17348";"0,877635";"13,83909";"19,11445";"9,247892";"120,8748";"0,04045727";"-184,9841";"26,30561";"27,65317";"26,97939";"109,8902";"44,19941";"146,6968";"24,0375"
"02/01/2025";"-51,14479";"-49,19571";"3,689143";"0,82458";"-19,94601";"10,95849";"-0,853494";"-1,582482";"-4,594287";"-161,4285";"1,845903";"-1,744507";"-4,902625";"-249,7098";"44,19941";"95,17348";"0,877635";"13,83909";"19,28382";"7,715555";"107,1965";"0,0772438";"-161,3917";"25,97915";"26,91198";"26,44556";"109,8902";"44,19941";"132,1048";"24,3816"
"03/01/2025";"-48,23407";"-61,38462";"1,683175";"0,308969";"-17,65997";"5,897044";"-3,535053";"-1,474932";"-3,142385";"-151,9791";"1,589693";"-0,754141";"-2,572526";"-226,7522";"44,19941";"95,17348";"0,877635";"13,83909";"19,40343";"8,279451";"108,4625";"0,2087615";"-150,2002";"25,66787";"26,3258";"25,99684";"109,8902";"44,19941";"120,0546";"24,61667"
"04/01/2025";"-20,58314";"-25,07783";"-1,178374";"-1,065994";"-17,77161";"-7,165413";"-5,914529";"-0,671251";"-1,990184";"-160,5094";"1,293564";"-0,529472";"-2,013573";"-242,5546";"43,48851";"95,17348";"0,877635";"13,83909";"19,35157";"5,336349";"73,2596";"0,1783966";"-158,753";"25,81362";"26,60178";"26,2077";"109,8902";"43,48851";"128,6042";"24,50833"
"05/01/2025";"-35,01111";"-18,01157";"1,340422";"-3,260654";"-30,00193";"-17,3709";"-5,58562";"-1,102793";"-0,576133";"-100,0069";"0,857359";"-1,962406";"-5,481166";"-108,6287";"1,883448";"94,24216";"0";"0";"0,5833638";"8,83972";"115,9857";"0,06703214";"-100,0735";"27,026";"27,58024";"27,30312";"94,24216";"1,883448";"60,34929";"24,92813"
"06/01/2025";"-33,88181";"-18,16847";"2,643725";"-2,209116";"-29,36852";"-7,67363";"-3,343899";"-1,010475";"-3,870119";"-191,4918";"1,716556";"-1,634266";"-4,057158";"-291,6049";"44,19941";"95,17348";"0,877635";"13,83909";"19,10952";"8,388577";"118,5881";"0,1329905";"-188,1866";"26,49126";"27,80914";"27,1502";"109,8902";"44,19941";"153,872";"24,87674"
"07/01/2025";"-57,32091";"-54,6683";"4,592762";"0,65097";"-24,95635";"9,699554";"-1,07348";"-1,682307";"-3,502182";"-169,7672";"1,447634";"-0,996941";"-3,253183";"-256,1569";"44,19941";"95,17348";"0,877635";"13,83909";"19,12244";"9,770861";"126,0578";"0,09604967";"-168,628";"26,21866";"27,19738";"26,70802";"109,8902";"44,19941";"135,5974";"24,5816"
"08/01/2025";"-25,85237";"-23,46594";"-0,005566";"-3,311262";"-28,10134";"-10,57887";"-6,984022";"-0,742754";"-1,886525";"-184";"1,302996";"-0,793657";"-2,494473";"-275,802";"44,19941";"95,17348";"0,877635";"13,83909";"19,09613";"8,605919";"113,8448";"0,07642762";"-181,6579";"26,29981";"27,43946";"26,86963";"109,8902";"44,19941";"145,9312";"24,82396"
"09/01/2025";"-27,5374";"-1,769814";"2,031957";"-1,630695";"-31,78082";"-9,944477";"-3,871249";"-0,772173";"-1,14883";"-203,7886";"1,229001";"-0,520585";"-1,505342";"-331,8282";"44,19941";"95,17348";"0,877635";"13,83909";"18,859";"7,762154";"101,9997";"0,3169499";"-197,1527";"26,82948";"28,16608";"27,49778";"109,8902";"44,19941";"176,0577";"25,35174"
