zona,potencia_W_m2,referencia_W_m2,supera_referencia
PLANTABAJA:PBXBOX01,10.0,8,True
PLANTABAJA:PBXBAX01,10.0,8,True
PLANTABAJA:PBXREX01,15.0,8,True
PLANTABAJA:PBXSEX01,15.0,8,True
PLANTABAJA:PBXOFX03,25.0,8,True
PLANTABAJA:PBXOFX02,25.0,8,True
PLANTABAJA:PBXOFX01,25.0,8,True
PRIMERAPLANTAALTA:1PAXDC,10.0,8,True
PRIMERAPLANTAALTA:1PAXSR,25.0,8,True
PRIMERAPLANTAALTA:1PAXPAS,10.0,8,True
PRIMERAPLANTAALTA:1PAXOFX02,25.0,8,True
PRIMERAPLANTAALTA:1PAXBAX02,10.0,8,True
PRIMERAPLANTAALTA:1PAXBAX01,10.0,8,True
PRIMERAPLANTAALTA:1PAXOFX03,25.0,8,True
PRIMERAPLANTAALTA:1PAXOFX01,25.0,8,True
SEGUNDAPLANTAALTA:2PAXBAX01,10.0,8,True
SEGUNDAPLANTAALTA:2PAXCAF,15.0,8,True
SEGUNDAPLANTAALTA:2PAXSUM,15.0,8,True
SEGUNDAPLANTAALTA:2PAXPAS,10.0,8,True
