caso,zona,mes,variable,valor,horas
CB,PLANTABAJA:PBXESX01,1,temperatura_operativa_C,26.611609314426406,744
CB,PLANTABAJA:PBXESX01,2,temperatura_operativa_C,27.44105578738932,672
CB,PLANTABAJA:PBXESX01,3,temperatura_operativa_C,28.30290333185228,744
CB,PLANTABAJA:PBXESX01,4,temperatura_operativa_C,27.49739737882525,720
CB,PLANTABAJA:PBXESX01,5,temperatura_operativa_C,27.427900739966095,744
CB,PLANTABAJA:PBXESX01,6,temperatura_operativa_C,26.15204045721375,720
CB,PLANTABAJA:PBXESX01,7,temperatura_operativa_C,24.831261248325923,744
CB,PLANTABAJA:PBXESX01,8,temperatura_operativa_C,24.734304585363905,744
CB,PLANTABAJA:PBXESX01,9,temperatura_operativa_C,24.38737557858186,720
CB,PLANTABAJA:PBXESX01,10,temperatura_operativa_C,24.523944625754655,744
CB,PLANTABAJA:PBXESX01,11,temperatura_operativa_C,24.53577963287349,720
CB,PLANTABAJA:PBXESX01,12,temperatura_operativa_C,25.56416961227615,744
CB,PLANTABAJA:PBXBOX01,1,temperatura_operativa_C,26.568960823244772,744
CB,PLANTABAJA:PBXBOX01,2,temperatura_operativa_C,27.658545067993735,672
CB,PLANTABAJA:PBXBOX01,3,temperatura_operativa_C,28.731915589267853,744
CB,PLANTABAJA:PBXBOX01,4,temperatura_operativa_C,27.83599914927766,720
CB,PLANTABAJA:PBXBOX01,5,temperatura_operativa_C,27.971005388459172,744
CB,PLANTABAJA:PBXBOX01,6,temperatura_operativa_C,26.500909343068127,720
CB,PLANTABAJA:PBXBOX01,7,temperatura_operativa_C,24.912348407570715,744
CB,PLANTABAJA:PBXBOX01,8,temperatura_operativa_C,24.944883701648806,744
CB,PLANTABAJA:PBXBOX01,9,temperatura_operativa_C,24.45899819464238,720
CB,PLANTABAJA:PBXBOX01,10,temperatura_operativa_C,24.486299439103476,744
CB,PLANTABAJA:PBXBOX01,11,temperatura_operativa_C,24.420390080571472,720
CB,PLANTABAJA:PBXBOX01,12,temperatura_operativa_C,25.492522125475947,744
CB,PLANTABAJA:PBXBAX01,1,temperatura_operativa_C,26.815933813173732,744
CB,PLANTABAJA:PBXBAX01,2,temperatura_operativa_C,27.927883289690097,672
CB,PLANTABAJA:PBXBAX01,3,temperatura_operativa_C,28.953672693224664,744
CB,PLANTABAJA:PBXBAX01,4,temperatura_operativa_C,28.12563751954551,720
CB,PLANTABAJA:PBXBAX01,5,temperatura_operativa_C,28.247069162912908,744
CB,PLANTABAJA:PBXBAX01,6,temperatura_operativa_C,26.74118650033872,720
CB,PLANTABAJA:PBXBAX01,7,temperatura_operativa_C,25.14399300155207,744
CB,PLANTABAJA:PBXBAX01,8,temperatura_operativa_C,25.1263787946959,744
CB,PLANTABAJA:PBXBAX01,9,temperatura_operativa_C,24.613406302324712,720
CB,PLANTABAJA:PBXBAX01,10,temperatura_operativa_C,24.667444729326274,744
