zona,CB,C3,diferencia_kWh,variacion_pct
PLANTABAJA:ASCENSOR,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,0.0,0.0,0.0,
PLANTABAJA:PBXOFX01,2800.598250623556,2637.978620346387,-162.6196302771691,-5.806603294169797
PLANTABAJA:PBXOFX02,2371.538345496383,2272.338325737614,-99.20001975876903,-4.182939733913753
PLANTABAJA:PBXOFX03,3062.201986237676,2984.415387984563,-77.78659825311297,-2.540217745357947
PLANTABAJA:PBXREX01,0.0,0.0,0.0,
PLANTABAJA:PBXSEX01,11810.793644623362,11717.573054361572,-93.22059026178977,-0.7892830326794056
PRIMERAPLANTAALTA:1PAXBAX01,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXDC,40196.1107817005,40125.26747620997,-70.84330549053266,-0.17624417913283405
PRIMERAPLANTAALTA:1PAXES,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXOFX01,4447.6548356289,3941.15139957673,-506.5034360521704,-11.388101252703226
PRIMERAPLANTAALTA:1PAXOFX02,2967.616597199921,2802.899306946033,-164.71729025388822,-5.550490936373193
PRIMERAPLANTAALTA:1PAXOFX03,4500.5263326680715,4028.1679077074673,-472.3584249606042,-10.495626290016027
PRIMERAPLANTAALTA:1PAXPAS,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXSR,3053.3058098058277,2978.3983517536394,-74.9074580521883,-2.4533231427923026
PRIMERAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXCAF,2642.023262788761,2579.2485640593304,-62.77469872943038,-2.3760085542611455
SEGUNDAPLANTAALTA:2PAXES,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXSUM,6907.04100637939,6681.521518350257,-225.51948802913284,-3.2650665867024897
SEGUNDAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
