zona,mes,C3,CB,diferencia_kWh,variacion_pct
PLANTABAJA:ASCENSOR,1,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,2,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,3,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,4,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,5,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,6,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,7,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,8,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,9,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,10,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,11,0.0,0.0,0.0,
PLANTABAJA:ASCENSOR,12,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXOFX01,1,316.1216123262812,327.2413203546135,-11.119708028332298,-3.3980146566706426
PLANTABAJA:PBXOFX01,2,339.0441840067045,341.4385847647829,-2.3944007580784046,-0.701268358328016
PLANTABAJA:PBXOFX01,3,388.3599347408354,393.21544720352523,-4.8555124626898305,-1.2348224102642273
PLANTABAJA:PBXOFX01,4,357.8511927675644,360.33323703902937,-2.4820442714649857,-0.6888191308303164
PLANTABAJA:PBXOFX01,5,338.8353816529307,339.012104907281,-0.1767232543502928,-0.052128892093285625
PLANTABAJA:PBXOFX01,6,194.954829432549,205.43419506171307,-10.479365629164079,-5.101081456286304
PLANTABAJA:PBXOFX01,7,131.66119067645184,141.233061602754,-9.571870926302154,-6.777358514839068
