"Date/Time";"Glazing";"Walls";"Ceilings (int)";"Floors (int)";"Ground Floors";"Partitions (int)";"Roofs";"Floors (ext)";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Total Cooling";"Relative Humidity";"General Lighting";"Miscellaneous";"Catering";"Computer + Equip";"Occupancy";"Solar Gains Interior Windows";"Solar Gains Exterior Windows";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"%";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"°C";
"15/3/2025 0:30:00";"-4,776902";"0,13988";"0,649949";"1,789667";"1,184932";"2,87969";"-1,876804";"-0,016828";"-3,962112";"0,4726366";"-1,620192";"0";"-3,962112";"30,91302";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,962111";"23,53973";"24,42088";"23,9803";"13,4";
"15/3/2025 1:00:00";"-4,722114";"-0,204559";"0,629516";"1,821919";"1,311872";"3,085711";"-1,865848";"-0,018902";"-3,941041";"0,4726702";"-1,625212";"0";"-3,941041";"31,2879";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,941041";"23,2564";"24,11214";"23,68427";"13,1";
"15/3/2025 1:30:00";"-4,633183";"-0,530113";"0,598983";"1,84052";"1,418171";"3,244815";"-1,854743";"-0,021006";"-3,920439";"0,4725463";"-1,614124";"0";"-3,920439";"31,70654";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,920438";"22,97503";"23,81407";"23,39455";"12,9";
"15/3/2025 2:00:00";"-4,553663";"-0,824883";"0,568273";"1,855083";"1,521995";"3,38235";"-1,840681";"-0,022652";"-3,899953";"0,4724419";"-1,604716";"0";"-3,899953";"32,1413";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,899952";"22,70441";"23,5226";"23,11351";"12,7";
"15/3/2025 2:30:00";"-4,460042";"-1,098773";"0,534588";"1,864036";"1,617823";"3,494489";"-1,824176";"-0,024067";"-3,879851";"0,4722742";"-1,588745";"0";"-3,879851";"32,58598";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,879851";"22,44434";"23,24013";"22,84223";"12,55";
"15/3/2025 3:00:00";"-4,373313";"-1,348192";"0,499964";"1,869051";"1,707731";"3,585818";"-1,806118";"-0,025131";"-3,859974";"0,4721186";"-1,573833";"0";"-3,859974";"33,04263";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,859974";"22,19117";"22,96545";"22,57831";"12,4";
"15/3/2025 3:30:00";"-4,291794";"-1,573611";"0,465079";"1,871896";"1,794698";"3,660996";"-1,786866";"-0,025962";"-3,840365";"0,4719733";"-1,559817";"0";"-3,840365";"33,51002";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,840364";"21,94373";"22,69787";"22,3208";"12,25";
"15/3/2025 4:00:00";"-4,214955";"-1,776589";"0,43006";"1,87429";"1,877506";"3,721636";"-1,767286";"-0,026449";"-3,821049";"0,4718395";"-1,546827";"0";"-3,821049";"33,98272";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,821048";"21,70286";"22,43708";"22,06997";"12,1";
"15/3/2025 4:30:00";"-4,122765";"-1,962251";"0,394454";"1,872233";"1,956475";"3,766039";"-1,748518";"-0,026811";"-3,802268";"0,4716389";"-1,527101";"0";"-3,802268";"34,45139";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,802268";"21,47162";"22,18504";"21,82833";"12";
"15/3/2025 5:00:00";"-4,036191";"-2,131898";"0,358257";"1,867342";"2,030431";"3,795212";"-1,729038";"-0,027041";"-3,783831";"0,471449";"-1,508406";"0";"-3,783831";"34,92038";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,78383";"21,247";"21,94068";"21,59384";"11,9";
"15/3/2025 5:30:00";"-3,874825";"-2,292453";"0,318778";"1,855397";"2,097841";"3,803976";"-1,704884";"-0,027565";"-3,766595";"0,470966";"-1,460449";"0";"-3,766595";"35,34996";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,766594";"21,04578";"21,7112";"21,37849";"12";
"15/3/2025 6:00:00";"-3,727886";"-2,449359";"0,27631";"1,832008";"2,154232";"3,785627";"-1,677611";"-0,028106";"-3,749745";"0,470504";"-1,414569";"0";"-3,749745";"35,76045";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,749744";"20,85755";"21,49354";"21,17554";"12,1";
"15/3/2025 6:30:00";"-3,486979";"-2,602819";"0,229597";"1,799651";"2,202516";"3,746068";"-1,640727";"-0,028896";"-3,734378";"0,4696776";"-1,332346";"0";"-3,734378";"36,11193";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,734377";"20,69866";"21,29596";"20,99731";"12,45";
"15/3/2025 7:00:00";"-3,266791";"-2,758248";"0,178767";"1,752598";"2,237278";"3,675139";"-1,598552";"-0,029496";"-3,719501";"0,4688805";"-1,253024";"0";"-3,719501";"36,42896";"0,078477";"3,924295";"0";"0";"0";"0";"0";"-3,719501";"20,55719";"21,11445";"20,83582";"12,8";
"15/3/2025 7:30:00";"-2,797296";"-3,795632";"-0,295288";"1,222641";"1,368138";"2,84967";"-1,710228";"-0,077871";"-3,707331";"0,4850467";"-1,130081";"0";"-3,707331";"36,25476";"0,078477";"3,932736";"0";"0";"3,768998E-02";"1,504297";"5,472659";"-3,762995";"20,64862";"21,17163";"20,91013";"13,65";
"15/3/2025 8:00:00";"-2,651626";"-5,477886";"-1,029991";"0,292277";"-0,343778";"1,446458";"-1,632115";"-0,15617";"-3,696144";"0,4839762";"-1,049322";"0";"-3,696144";"35,5005";"0,078477";"3,932736";"0";"0";"3,816156E-02";"4,007737";"14,00288";"-3,74591";"20,99911";"21,54697";"21,27304";"14,5";
"15/3/2025 8:30:00";"-2,335668";"-7,294358";"-1,796668";"-0,629283";"-1,805943";"-0,307867";"-1,194504";"-0,228659";"-3,580919";"2,229361";"-1,025969";"0";"-3,580919";"34,95238";"4,236903";"4,025869";"0,087763";"1,383907";"2,375721";"4,960703";"18,02166";"-7,427909";"21,88348";"22,21527";"22,04938";"15,45";
"15/3/2025 9:00:00";"-2,390142";"-8,148914";"-1,961675";"-1,348601";"-2,114219";"-1,438258";"-0,301807";"-0,273757";"-3,593474";"2,233986";"-0,975068";"0";"-3,593474";"34,48908";"4,236903";"4,025869";"0,087763";"1,383907";"2,268978";"5,078009";"19,41344";"-7,315053";"22,53693";"22,91748";"22,72721";"16,4";
"15/3/2025 9:30:00";"-2,405542";"-8,184828";"-1,931383";"-1,624419";"-2,099049";"-2,07576";"0,839691";"-0,273162";"-3,607398";"2,274322";"-0,938851";"0";"-3,607398";"33,8529";"4,236903";"4,025869";"0,087763";"1,383907";"2,248809";"4,646177";"18,81903";"-7,289939";"23,19107";"23,57299";"23,38203";"17,25";
"15/3/2025 10:00:00";"-2,361809";"-7,926392";"-1,829172";"-1,842559";"-1,842534";"-2,629382";"1,889316";"-0,272323";"-3,635569";"2,278679";"-0,906813";"0";"-3,635569";"33,50306";"4,236903";"4,025869";"0,087763";"1,383907";"2,155941";"4,029731";"17,55359";"-7,240708";"23,8711";"24,20458";"24,03784";"18,1";
"15/3/2025 10:30:00";"-2,337065";"-7,433713";"-1,687481";"-1,993578";"-1,487047";"-3,118243";"2,73925";"-0,260935";"-3,795999";"2,282183";"-0,870152";"0";"-3,795999";"32,7793";"4,414629";"4,025869";"0,087763";"1,383907";"2,066753";"3,406751";"15,95584";"-7,284026";"24,41757";"24,79065";"24,60411";"18,85";
"15/3/2025 11:00:00";"-2,2856";"-6,747084";"-1,49258";"-2,052569";"-1,053354";"-3,412982";"3,361167";"-0,24331";"-4,305702";"2,284868";"-0,815364";"0";"-4,305702";"32,3469";"4,414629";"4,025869";"0,087763";"1,383907";"1,986503";"2,706949";"14,02246";"-7,600461";"24,83813";"25,31109";"25,07461";"19,6";
"15/3/2025 11:30:00";"-2,30156";"-5,917784";"-1,255127";"-2,060501";"-0,597659";"-3,524358";"3,79341";"-0,219997";"-5,012582";"2,28632";"-0,781318";"0";"-5,012582";"32,38118";"4,414629";"4,025869";"0,087763";"1,383907";"1,942802";"1,989759";"12,12353";"-8,197906";"25,12652";"25,74792";"25,43722";"20,1";
"15/3/2025 12:00:00";"-2,275513";"-5,107247";"-1,113121";"-1,989791";"-0,58751";"-3,599274";"4,077848";"-0,189372";"-5,910527";"2,287627";"-0,727604";"0";"-5,910527";"32,2286";"4,414629";"4,025869";"0,087763";"1,383907";"1,920509";"1,441359";"11,05496";"-8,891207";"25,28439";"26,15352";"25,71896";"20,6";
"15/3/2025 12:30:00";"-2,297745";"-4,320656";"-0,986424";"-1,85361";"-0,704641";"-3,571878";"4,225762";"-0,149274";"-6,876135";"2,291423";"-0,679794";"0";"-6,876135";"32,38768";"4,2577";"4,025869";"0,087763";"1,383907";"1,86752";"1,012565";"10,31275";"-9,679711";"25,37609";"26,51137";"25,94373";"21";
"15/3/2025 13:00:00";"-2,341977";"-3,604616";"-0,851906";"-1,715327";"-0,731366";"-3,474145";"4,239017";"-0,108813";"-7,708458";"2,291367";"-0,632591";"0,007665";"-7,708458";"32,42442";"4,2577";"4,025869";"0,087763";"1,383907";"1,855259";"0,756897";"9,711419";"-10,30782";"25,47175";"26,80839";"26,14007";"21,4";
"15/3/2025 13:30:00";"-2,321006";"-3,167197";"-0,775622";"-1,654494";"-0,815358";"-3,487612";"4,035231";"-0,073809";"-8,428746";"2,269554";"-0,606981";"0,012455";"-8,428746";"32,43665";"4,236903";"4,025869";"0,087763";"1,383907";"1,841102";"0,750888";"9,870876";"-10,88442";"25,55561";"27,06838";"26,312";"21,65";
"15/3/2025 14:00:00";"-2,256938";"-2,873164";"-0,72646";"-1,615142";"-0,969163";"-3,496461";"3,677149";"-0,034335";"-9,050375";"2,269446";"-0,581407";"0,017246";"-9,050375";"32,41526";"4,236903";"4,025869";"0,087763";"1,383907";"1,832401";"0,810316";"10,34493";"-11,3693";"25,64011";"27,29508";"26,4676";"21,9";
"15/3/2025 14:30:00";"-2,320328";"-2,631166";"-0,676602";"-1,571646";"-1,140848";"-3,471562";"3,203722";"0,003055";"-9,358448";"2,287735";"-0,594432";"0,017246";"-9,358448";"32,39304";"4,236903";"4,025869";"0,087763";"1,383907";"1,854716";"0,884479";"10,86868";"-11,70415";"25,72309";"27,47701";"26,60005";"21,9";
"15/3/2025 15:00:00";"-2,378204";"-2,377512";"-0,629891";"-1,545044";"-1,319858";"-3,43207";"2,673976";"0,031439";"-9,574858";"2,288007";"-0,607674";"0,017246";"-9,574858";"32,36091";"4,236903";"4,025869";"0,087763";"1,383907";"1,84467";"0,963691";"11,40853";"-11,93186";"25,80795";"27,63412";"26,72104";"21,9";
"15/3/2025 15:30:00";"-2,520659";"-2,268001";"-0,697752";"-1,917108";"-1,742209";"-3,575249";"2,029473";"0,012734";"-9,731411";"2,287708";"-0,666187";"0,011497";"-9,731411";"32,25945";"4,236903";"4,025869";"0,087763";"1,383907";"1,833741";"1,151183";"13,53494";"-12,28113";"25,88316";"27,83547";"26,85931";"21,6";
"15/3/2025 16:00:00";"-2,723303";"-2,034003";"-0,7445";"-2,200862";"-2,126405";"-3,687041";"1,362114";"-0,006773";"-9,990252";"2,28843";"-0,726297";"0,005749";"-9,990252";"32,20723";"4,236903";"4,025869";"0,087763";"1,383907";"1,823721";"1,318847";"15,48634";"-12,73225";"25,97014";"28,0497";"27,00992";"21,3";
"15/3/2025 16:30:00";"-3,001115";"-1,655193";"-0,757466";"-2,353337";"-2,434977";"-3,799104";"0,718913";"-0,023053";"-10,23296";"2,288759";"-0,802239";"0";"-10,23296";"32,07889";"4,414629";"4,025869";"0,087763";"1,383907";"1,812706";"1,445551";"16,99657";"-13,23229";"26,05978";"28,2572";"27,15849";"20,9";
"15/3/2025 17:00:00";"-3,29652";"-1,123438";"-0,719523";"-2,361392";"-2,627147";"-3,847945";"0,205888";"-0,036701";"-10,46064";"2,290207";"-0,87678";"0";"-10,46064";"31,98596";"4,414629";"4,025869";"0,087763";"1,383907";"1,799156";"1,50996";"17,90139";"-13,71385";"26,13862";"28,45205";"27,29533";"20,5";
"15/3/2025 17:30:00";"-3,662383";"-0,369492";"-0,593364";"-2,131794";"-2,641763";"-3,715162";"-0,194989";"-0,042212";"-10,46764";"2,254946";"-0,96913";"0";"-10,46764";"31,89468";"4,414629";"4,025869";"0,087763";"1,383907";"1,74472";"1,485624";"17,68626";"-13,95766";"26,22868";"28,59663";"27,41265";"20";
"15/3/2025 18:00:00";"-4,024677";"0,549012";"-0,370538";"-1,623353";"-2,351476";"-3,413702";"-0,543272";"-0,030643";"-10,12993";"2,258695";"-1,053423";"0";"-10,12993";"31,84232";"4,414629";"4,025869";"0,087763";"1,383907";"1,73798";"1,296126";"15,66038";"-13,92102";"26,26222";"28,6461";"27,45416";"19,5";
"15/3/2025 18:30:00";"-4,740108";"2,738698";"0,412496";"-0,093407";"-1,140884";"-1,866215";"-0,6671";"0,054387";"-4,043819";"0,4877014";"-1,352736";"0";"-4,043819";"29,5252";"0,078477";"3,932736";"0";"0";"1,894353E-02";"0,825362";"10,25732";"-4,095393";"27,42069";"28,33456";"27,87762";"18,75";
"15/3/2025 19:00:00";"-5,349381";"3,766099";"0,772803";"1,266197";"-0,247495";"-0,859949";"-1,002444";"0,095028";"-4,074693";"0,4886797";"-1,412888";"0";"-4,074693";"29,59733";"0,078477";"3,932736";"0";"0";"1,860745E-02";"0,012612";"0,1755402";"-4,130033";"27,02596";"27,95652";"27,49124";"18";
