"Date/Time";"Outside Dry-Bulb Temperature";"Outside Dew-Point Temperature";"Direct Normal Solar";"Diffuse Horizontal Solar";"Wind Speed";"Wind Direction";"Atmospheric Pressure";"Solar Altitude";"Solar Azimuth";
;"°C";"°C";"kWh/m2";"kWh/m2";"m/s";"°";"Pa";"°";"°";
"1/1/2002";"24,0375";"21,94167";"6,898";"1,46225";"4,379167";"166,0833";"101103,6";"0,5442826";"180";
"2/1/2002";"24,38229";"22,43333";"4,595";"2,0735";"4,558333";"132,5521";"101101,2";"0,5431577";"180";
"3/1/2002";"24,61667";"22,36042";"5,794";"1,71725";"4,635417";"164,0313";"101106";"0,5419263";"180";
"4/1/2002";"24,50833";"22,43542";"2,189";"2,3575";"3,53125";"176,75";"101105,7";"0,5405879";"180";
"5/1/2002";"24,93021";"22,34062";"6,399";"1,51475";"4,932292";"168,3333";"101084,6";"0,5391423";"180";
"6/1/2002";"24,87604";"22,18333";"5,831";"1,75325";"4,678125";"159,5625";"101106,3";"0,537589";"180";
"7/1/2002";"24,58229";"22,0875";"7,608";"1,346";"3,28125";"164,6563";"101105,8";"0,5359278";"180";
"8/1/2002";"24,82604";"22,01458";"5,325";"2,0345";"2,401042";"168,1667";"101106,4";"0,5341581";"180";
"9/1/2002";"25,35104";"23,31667";"5,155";"1,825";"3,076042";"184,9479";"101108,8";"0,5322796";"180";
"10/1/2002";"25,28125";"23,2875";"7,401";"1,38875";"3,676042";"174,25";"101092,7";"0,5302918";"180";
"11/1/2002";"24,95833";"22,94792";"7,39";"1,3605";"4,472917";"162,0729";"101090,9";"0,5281942";"180";
"12/1/2002";"25,05104";"23,0625";"4,943";"1,82175";"2,75";"156,5";"101090,3";"0,5259864";"180";
"13/1/2002";"25,63854";"22,50833";"5,225";"1,6985";"3,654167";"148,7813";"101106,4";"0,5236678";"180";
"14/1/2002";"25,54896";"22,53854";"2,657";"2,26775";"4,054167";"165,25";"101109,7";"0,5212379";"180";
"15/1/2002";"25,67292";"22,65729";"7,554";"1,313";"3,828125";"190,7708";"101106,7";"0,518696";"180";
"16/1/2002";"24,35833";"22,90937";"7,413";"1,369";"2,194792";"184,4375";"101091,2";"0,5160415";"180";
"17/1/2002";"25,04688";"22,71042";"7,263";"1,406";"2,53125";"158,6042";"101095,9";"0,5132738";"180";
"18/1/2002";"25,49167";"22,74167";"6,904";"1,462";"2,376042";"168,5417";"101101,3";"0,5103924";"180";
"19/1/2002";"25,23333";"22,61042";"3,324";"1,8485";"2,276042";"216,2083";"101098,9";"0,5073963";"180";
"20/1/2002";"25,78542";"23,15625";"6,383";"1,62975";"3,5375";"191,3021";"101114,9";"0,504285";"180";
"21/1/2002";"26,03958";"22,18958";"7,7";"1,30125";"2,321875";"196,2604";"101107,1";"0,5010576";"180";
"22/1/2002";"26,2125";"22,24792";"7,189";"1,30775";"2,05625";"113,9271";"101107,1";"0,4977133";"180";
"23/1/2002";"26,43646";"22,74896";"8,592";"1,0765";"4,208333";"151,9167";"101105";"0,4942513";"180";
"24/1/2002";"27,02708";"23,17708";"8,457";"1,11125";"4,407292";"162,9063";"101104,4";"0,4906707";"180";
"25/1/2002";"26,52708";"22,31667";"8,084";"1,30525";"2,207292";"114,9271";"101104,9";"0,4869707";"180";
"26/1/2002";"26,61458";"22,38854";"8,578";"1,0875";"1,140625";"168,6979";"101111,5";"0,4831501";"180";
"27/1/2002";"27,03437";"22,40104";"8,092";"1,1895";"2,134375";"125,0208";"101100,7";"0,4792081";"180";
"28/1/2002";"27,48854";"22,81979";"7,378";"1,17525";"2,879167";"165,6354";"101108";"0,4751436";"180";
"29/1/2002";"26,87188";"23,59583";"5,659";"1,73475";"2,833333";"230,5417";"101107,8";"0,4709555";"180";
"30/1/2002";"26,95729";"23,98125";"4,271";"2,04425";"2,907292";"239,3646";"101101,3";"0,4666426";"180";
"31/1/2002";"26,36458";"23,53125";"5,852";"1,61475";"3,214583";"219,2083";"101097,8";"0,4622037";"180";
"1/2/2002";"26,56979";"22,56667";"3,773";"2,2315";"7,8375";"183,75";"101053,3";"0,4576376";"180";
"2/2/2002";"26,72083";"23,21667";"5,358";"1,70625";"5,585417";"170,2708";"101131,9";"0,4529429";"180";
"3/2/2002";"26,86875";"23,50208";"4,655";"1,90975";"4,507292";"181,6458";"101065,9";"0,4481182";"180";
"4/2/2002";"26,18958";"22,76667";"4,494";"1,9175";"3,43125";"201,625";"101128,4";"0,4431622";"180";
"5/2/2002";"26,39271";"22,82604";"3,661";"2,1345";"5,217708";"177,8125";"101115,6";"0,4380731";"180";
"6/2/2002";"26,85729";"22,99271";"5,977";"1,8";"4,803125";"158,4688";"101035,6";"0,4328495";"180";
"7/2/2002";"26,48854";"22,71563";"7,197";"1,6325";"6,40625";"153,0625";"101122,9";"0,4274895";"180";
"8/2/2002";"27,02813";"22,65937";"7,17";"1,65375";"7,358333";"157,3958";"101111,2";"0,4219916";"180";
"9/2/2002";"26,6375";"22,07292";"7,726";"1,5065";"6,74375";"150,4375";"101114,4";"0,4163536";"180";
"10/2/2002";"26,85417";"22,50625";"7,824";"1,3605";"4,622917";"162,1042";"101133";"0,4105736";"180";
"11/2/2002";"27,11667";"22,78958";"7,371";"1,44475";"6,972917";"160,6771";"101079,1";"0,4046495";"180";
"12/2/2002";"26,86042";"23,80625";"5,287";"1,7275";"5,448958";"176,7604";"101107,1";"0,3985791";"180";
"13/2/2002";"26,07604";"22,50312";"4,707";"1,70875";"4,777083";"174,3021";"101119,5";"0,3923599";"180";
"14/2/2002";"25,95833";"22,69375";"6,682";"1,50775";"4,91875";"171,8229";"101103,4";"0,3859895";"180";
