"Block";"Zone";"Floor Area (m2)";"Floor Area above Threshold (m2)";"Floor Area above Threshold (%)";"Average Daylight Factor (%)";"Minimum Daylight Factor (%)";"Maximum Daylight Factor (%)";"Uniformity ratio (Min / Avg)";"Uniformity ratio (Min / Max)";"Min Illuminance (lux)";"Max Illuminance (lux)";""
"Planta Baja";"PB-BO-01";"2,080";"0";"0";"0";"0";"0";"0";"0";"0";"0";""
"Planta Baja";"PB-BA-01";"4,583";"0";"0";"0";"0";"0";"0";"0";"0";"0";""
"Planta Baja";"PB-RE-01";"9,328";"1,347";"14,444";"1,204";",516";"2,635";",429";",196";"51,70";"263,90";""
"Planta Baja";"PB-SE-01";"54,100";"51,321";"94,863";"5,469";",535";"20,201";",098";",026";"53,54";"2022,85";""
"Planta Baja";"PB-OF-03";"13,464";"13,464";"100";"6,317";"2,332";"16,864";",369";",138";"233,57";"1689,29";""
"Planta Baja";"PB-OF-02";"9,875";"9,875";"100";"7,951";"2,539";"17,302";",319";",147";"254,29";"1733,05";""
"Planta Baja";"PB-OF-01";"12,716";"12,168";"95,690";"7,460";",560";"23,998";",075";",023";"56,07";"2402,73";""
"Primera Planta Alta";"1PA-DC";"7,848";"0";"0";"0";"0";"0";"0";"0";"0";"0";""
"Primera Planta Alta";"1PA-SR";"12,694";"3,197";"25,185";"1,694";",521";"8,101";",308";",064";"52,19";"811,13";""
"Primera Planta Alta";"1PA-PAS";"21,847";"12,368";"56,614";"2,358";",395";"4,800";",167";",082";"39,53";"480,62";""
"Primera Planta Alta";"1PA-OF-02";"10,528";"7,159";"68";"3,212";"1,399";"7,346";",436";",190";"140,05";"735,19";""
"Primera Planta Alta";"1PA-BA-02";"4,848";"3,781";"78";"3,920";",938";"6,951";",239";",135";"93,86";"695,49";""
"Primera Planta Alta";"1PA-BA-01";"3,987";"1,883";"47,222";"2,549";"1,047";"6,630";",411";",158";"104,82";"664,02";""
"Primera Planta Alta";"1PA-OF-03";"18,660";"14,066";"75,377";"3,519";",323";"15,250";",092";",021";"32,36";"1527,14";""
"Primera Planta Alta";"1PA-OF-01";"15,196";"15,196";"100";"3,990";"2,143";"9,913";",537";",216";"214,71";"993,12";""
"Segunda Planta Alta";"2PA-BA-01";"4,355";"4,355";"100";"7,075";"2,213";"11,277";",313";",196";"221,61";"1129,25";""
"Segunda Planta Alta";"2PA-CAF";"5,851";"0";"0";",206";",120";",354";",580";",337";"11,96";"35,44";""
"Segunda Planta Alta";"2PA-SUM";"31,446";"17,871";"56,832";"2,712";",415";"10,629";",153";",039";"41,54";"1064,36";""
"Segunda Planta Alta";"2PA-PAS";"10,079";"5,245";"52,041";"2,186";",885";"4,476";",405";",198";"88,59";"448,20";""
"Total";"";"253,482";"173,295";"68,366";"3,816";"0";"23,998";"0";"0";"0";"2402,73";""
