caso,zona,horas_analizadas,PMV_medio,PPD_medio_pct,horas_PMV_05,porcentaje_PMV_05,horas_PMV_calor,horas_PMV_frio
CB,PB-OF-03,3130,0.8673523091096053,22.811778014484723,438,13.993610223642172,2692,0
CB,PB-OF-02,3130,0.9012893903678202,24.010514110743962,359,11.46964856230032,2771,0
CB,PB-OF-01,3130,0.8457931182154245,22.214852638225633,513,16.389776357827476,2617,0
CB,1PA-OF-02,3130,0.9269787204614384,25.27881425129533,356,11.373801916932907,2774,0
CB,1PA-OF-03,3130,0.8846216187041637,23.67668210339884,484,15.463258785942491,2646,0
CB,1PA-OF-01,3130,0.9538254774327114,26.057641989969518,330,10.543130990415335,2800,0
C1,PB-OF-03,3130,0.8486137858905352,22.257128589948316,449,14.345047923322685,2681,0
C1,PB-OF-02,3130,0.8735634125205473,23.128945804764527,378,12.07667731629393,2752,0
C1,PB-OF-01,3130,0.8085221202641608,21.113922238195805,589,18.817891373801917,2541,0
C1,1PA-OF-02,3130,0.9056866914316662,24.84268285439134,371,11.853035143769967,2759,0
C1,1PA-OF-03,3130,0.8354477689631686,22.611505580031324,548,17.507987220447284,2573,9
C1,1PA-OF-01,3130,0.9045765923294918,25.011176017724736,430,13.738019169329075,2696,4
C2,PB-OF-03,3130,0.8658440969859723,22.763100872302317,442,14.121405750798722,2688,0
C2,PB-OF-02,3130,0.9002069653526679,23.976728183925104,362,11.565495207667732,2768,0
C2,PB-OF-01,3130,0.8454541605404773,22.2058054279993,518,16.549520766773163,2612,0
C2,1PA-OF-02,3130,0.9194082181334493,25.00002502748891,381,12.17252396166134,2749,0
C2,1PA-OF-03,3130,0.8785607211346702,23.464807997550377,499,15.942492012779553,2631,0
C2,1PA-OF-01,3130,0.952075956550749,25.99447931596964,330,10.543130990415335,2800,0
C3 r01,PB-OF-03,3130,0.8483883433178053,22.25172384555177,451,14.408945686900958,2679,0
C3 r01,PB-OF-02,3130,0.8736110183539142,23.131826853210875,377,12.044728434504792,2753,0
C3 r01,PB-OF-01,3130,0.8080185966026778,21.097017293511062,590,18.849840255591054,2540,0
C3 r01,1PA-OF-02,3130,0.8977345257399966,24.56441966627398,389,12.428115015974441,2741,0
C3 r01,1PA-OF-03,3130,0.8293279874455104,22.41234344474636,558,17.82747603833866,2563,9
C3 r01,1PA-OF-01,3130,0.9025363983765136,24.943862362837084,434,13.865814696485623,2692,4
C3 r02,PB-OF-03,3130,0.7371489167699775,18.98531931965367,670,21.405750798722046,2460,0
C3 r02,PB-OF-02,3130,0.7472555713165004,19.300589409266813,593,18.945686900958467,2537,0
C3 r02,PB-OF-01,3130,0.7170938109119991,18.405997231371988,810,25.878594249201274,2320,0
C3 r02,1PA-OF-02,3130,0.7885040671015244,20.971440045473674,562,17.955271565495206,2567,1
C3 r02,1PA-OF-03,3130,0.725010918248426,19.336598456088954,701,22.396166134185304,2424,5
C3 r02,1PA-OF-01,3130,0.7876533040993824,20.85362375820462,544,17.380191693290733,2586,0
