caso,zona,campos_people
CB,PLANTABAJA:PBXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 62210 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 62210 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
CB,PLANTABAJA:PBXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 62218 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 62218 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
CB,PLANTABAJA:PBXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 62226 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 62226 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
CB,PRIMERAPLANTAALTA:1PAXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 62291 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 62291 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
CB,PRIMERAPLANTAALTA:1PAXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 62321 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 62321 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
CB,PRIMERAPLANTAALTA:1PAXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 62334 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 62334 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C1,PLANTABAJA:PBXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47593 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47593 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C1,PLANTABAJA:PBXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47601 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47601 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C1,PLANTABAJA:PBXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47609 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47609 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C1,PRIMERAPLANTAALTA:1PAXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 51976 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 51976 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C1,PRIMERAPLANTAALTA:1PAXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 52006 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 52006 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C1,PRIMERAPLANTAALTA:1PAXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 52019 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 52019 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C2,PLANTABAJA:PBXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47593 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47593 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C2,PLANTABAJA:PBXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47601 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47601 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
