superficie,construccion,orientacion,area_m2,padre
PLANTABAJA:PBXSEX01_Wall_11_0_0_0_0_3_Win,01.VIDRIO CLARO 6MM - 1002,SE,2.0538159998187937,PLANTABAJA:PBXSEX01_Wall_11_0_0
PLANTABAJA:PBXSEX01_Wall_11_0_0_1_0_2_Win,01.VIDRIO CLARO 6MM - 1002,SE,2.053815999818791,PLANTABAJA:PBXSEX01_Wall_11_0_0
PLANTABAJA:PBXSEX01_Wall_11_0_0_2_0_1_Win,01.VIDRIO CLARO 6MM - 1002,SE,2.0538159998187964,PLANTABAJA:PBXSEX01_Wall_11_0_0
PLANTABAJA:PBXSEX01_Wall_11_0_0_3_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SE,2.0538160003061257,PLANTABAJA:PBXSEX01_Wall_11_0_0
PLANTABAJA:PBXSEX01_Wall_12_0_0_0_0_1_Win,01.VIDRIO CLARO 6MM - 1002,NE,4.489055999940384,PLANTABAJA:PBXSEX01_Wall_12_0_0
PLANTABAJA:PBXSEX01_Wall_12_0_0_1_0_0_Win,01.VIDRIO CLARO 6MM - 1002,NE,4.489055999940381,PLANTABAJA:PBXSEX01_Wall_12_0_0
PLANTABAJA:PBXOFX03_Wall_5_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,4.080400000009065,PLANTABAJA:PBXOFX03_Wall_5_0_0
PLANTABAJA:PBXOFX02_Wall_5_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,4.08040000000907,PLANTABAJA:PBXOFX02_Wall_5_0_0
PLANTABAJA:PBXOFX01_Wall_4_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,4.080400000009066,PLANTABAJA:PBXOFX01_Wall_4_0_0
PRIMERAPLANTAALTA:1PAXSR_Wall_2_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,NE,7.472975929307454,PRIMERAPLANTAALTA:1PAXSR_Wall_2_0_0
PRIMERAPLANTAALTA:1PAXPAS_Wall_11_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,3.2085059736550616,PRIMERAPLANTAALTA:1PAXPAS_Wall_11_0_0
PRIMERAPLANTAALTA:1PAXOFX02_Wall_2_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,NE,9.025010786310144,PRIMERAPLANTAALTA:1PAXOFX02_Wall_2_0_0
PRIMERAPLANTAALTA:1PAXBAX02_Wall_4_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,1.9150559999745664,PRIMERAPLANTAALTA:1PAXBAX02_Wall_4_0_0
PRIMERAPLANTAALTA:1PAXBAX01_Wall_4_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,3.9772709892694036,PRIMERAPLANTAALTA:1PAXBAX01_Wall_4_0_0
PRIMERAPLANTAALTA:ATRIO1PA_Wall_6_0_0_0_0_2_Win,01.VIDRIO CLARO 6MM - 1002,SE,1.7766759702540331,PRIMERAPLANTAALTA:ATRIO1PA_Wall_6_0_0
PRIMERAPLANTAALTA:ATRIO1PA_Wall_6_0_0_1_0_1_Win,01.VIDRIO CLARO 6MM - 1002,SE,1.7766759700432464,PRIMERAPLANTAALTA:ATRIO1PA_Wall_6_0_0
PRIMERAPLANTAALTA:ATRIO1PA_Wall_6_0_0_2_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SE,1.7766759702540358,PRIMERAPLANTAALTA:ATRIO1PA_Wall_6_0_0
PRIMERAPLANTAALTA:1PAXOFX03_Wall_2_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,NE,4.997199649127252,PRIMERAPLANTAALTA:1PAXOFX03_Wall_2_0_0
PRIMERAPLANTAALTA:1PAXOFX03_Wall_6_0_0_0_0_0_Win,01.VIDRIO CLARO 6MM - 1002,SO,1.9320661118501812,PRIMERAPLANTAALTA:1PAXOFX03_Wall_6_0_0
