key,status,file,title,doi,source_url,pdf_url
aberaSustainableBuildingMaterials2024,download_error: HTTP Error 403: Forbidden,,Sustainable Building Materials: {{A}} Comprehensive Study on Eco-Friendly Alternatives for Construction,10.1177/26349833241255957,https://journals.sagepub.com/doi/10.1177/26349833241255957,
almusaedConstruction50Sustainable2024,descargado,almusaedConstruction50Sustainable2024.pdf,Construction 5.0 and {{Sustainable Neuro-Responsive Habitats}}: {{Integrating}} the {{Brain}}–{{Computer Interface}} and {{Building Information Modeling}} in {{Smart Residential Spaces}},10.3390/su16219393,https://www.mdpi.com/2071-1050/16/21/9393,https://mdpi-res.com/d_attachment/sustainability/sustainability-16-09393/article_deploy/sustainability-16-09393.pdf
aloshanSustainableEnvironmentalDesign2024,descargado,aloshanSustainableEnvironmentalDesign2024.pdf,Sustainable Environmental Design: Evaluating the Integration of Sustainable Knowledge in {{Saudi Arabian}} Architectural Programs,10.1007/s43621-024-00382-4,https://link.springer.com/10.1007/s43621-024-00382-4,https://link.springer.com/content/pdf/10.1007/s43621-024-00382-4.pdf
ascioneBuildingRatingSystems2022,download_error: HTTP Error 403: Forbidden,,"Building Rating Systems: A Novel Review about Capabilities, Current Limits and Open Issues",10.1016/j.scs.2021.103498,https://www.sciencedirect.com/science/article/abs/pii/S2210670721007642,
balNextGenerationBuilding2025,descargado,balNextGenerationBuilding2025.pdf,Next Generation Building Materials for Energy Efficiency and Climate Responsive Design,10.1007/s42452-025-07360-z,https://link.springer.com/10.1007/s42452-025-07360-z,https://link.springer.com/content/pdf/10.1007/s42452-025-07360-z.pdf
bettiCBEClimaTool2024,descargado,bettiCBEClimaTool2024.pdf,{{CBE Clima Tool}}: A Free and Open-Source Web Application for Climate Analysis Tailored to Sustainable Building Design,10.1007/s12273-023-1090-5,https://link.springer.com/article/10.1007/s12273-023-1090-5,https://link.springer.com/content/pdf/10.1007/s12273-023-1090-5.pdf
delamagonzaloAssessmentBuildingEnergy2023,descargado,delamagonzaloAssessmentBuildingEnergy2023.pdf,Assessment of {{Building Energy Simulation Tools}} to {{Predict Heating}} and {{Cooling Energy Consumption}} at {{Early Design Stages}},10.3390/su15031920,https://www.mdpi.com/2071-1050/15/3/1920,https://mdpi-res.com/d_attachment/sustainability/sustainability-15-01920/article_deploy/sustainability-15-01920.pdf
doanCriticalComparisonGreen2017,download_error: HTTP Error 403: Forbidden,,A Critical Comparison of Green Building Rating Systems,10.1016/j.buildenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0360132317302937,
feickertPolicyDesignLevers2025,download_error: HTTP Error 403: Forbidden,,Policy and Design Levers for Minimizing Embodied Carbon in {{United States}} Buildings: {{A}} Quantitative Comparison of Current and Proposed Strategies,10.1016/j.buildenv.2024.112485,https://linkinghub.elsevier.com/retrieve/pii/S036013232401326X,
firooziEmergingTrendsSustainable2024,download_error: HTTP Error 403: Forbidden,,"Emerging Trends in Sustainable Building Materials: {{Technological}} Innovations, Enhanced Performance, and Future Directions",10.1016/j.rineng.2024.103521,https://linkinghub.elsevier.com/retrieve/pii/S2590123024017729,
